artist,song,link,text
Dean Martin,C'est Si Bon,/d/dean+martin/cest+si+bon_20712709.html,"Oh it's on so good (Si bon si bon)  
Would be my own for the rest of my days  
So I say it to you (Si bon si bon)  
Leads to only one thought and it's this dear  "
Dean Martin,Cha-Cha-Cha D'amour,/d/dean+martin/cha+cha+cha+damour_20165390.html,This lover's melody will bring her back to me  
Dean Martin,Chee-Chee Oo Chee (Sang The Little Bird),/d/dean+martin/chee+chee+oo+chee+sang+the+little+bird_20165391.html,"Sing chee chee-oo chee and you can be as happy too  
Life's such a lovely thing it seemed to say  "
Dean Martin,Come Back To Sorrento (Torna A Surrento),/d/dean+martin/come+back+to+sorrento+torna+a+surrento_20657496.html,
Dean Martin,Crying Time,/d/dean+martin/crying+time_20177566.html,"Crying time will start when you walk out the door  
That's the way it's happened every time before  
That it won't be long before it's crying time  
Oh it's crying time again, you're gonna leave me  "
Dean Martin,Darling Je Vous Aime Beaucoup,/d/dean+martin/darling+je+vous+aime+beaucoup_20188096.html,
Dean Martin,Deep Purple,/d/dean+martin/deep+purple_20186778.html,
Dean Martin,Detour,/d/dean+martin/detour_20824520.html,"When I got right to the place where it said about face  
But the farther I go the more sorrow I know  
Trouble got in the trail, spent the next five years in jail  
Headin' down life's crooked road, lot of things I never knowed  "
Dean Martin,Detroit City,/d/dean+martin/detroit+city_20190658.html,"From the letters that I write, they think I'm fine.  
I want to go home, I want to go home,  
So I just think I'll take my foolish pride,  
I want to go home, I want to go home,  "
Dean Martin,Dinah,/d/dean+martin/dinah_20184901.html,
Dean Martin,Don't Let The Stars Get In Your Eyes,/d/dean+martin/dont+let+the+stars+get+in+your+eyes_20822202.html,"The love blooms at night in the daylight it dies  
The love blooms at night in the daylight it dies  
If I'm gone too long don't forget where you belong  
Don't you linger in the moonlight when I'm gone  "
Dean Martin,Don't You Remember,/d/dean+martin/dont+you+remember_20712696.html,"Didn't you say my arms felt right about you (Remember)  
Didn't you say I'd never be without you (Remember)  "
Dean Martin,Down Home,/d/dean+martin/down+home_20191545.html,"Down home (Way down home) Way down home (Way down home)  
Down home (Way down home) Way down home (Way down home)  
From home (Way down home) Way down home (Way down home)  
Down home (Way down home) Way down home (Way down home)  "
Dean Martin,Dream,/d/dean+martin/dream_20188242.html,Just hold me tight and tell me you'll miss me  
Dean Martin,Dreamy Old New England Moon,/d/dean+martin/dreamy+old+new+england+moon_20188691.html,
Dean Martin,For Me And The Gal,/d/dean+martin/for+me+and+the+gal_20819943.html,"While the parson's waitin' for me and my gal  
And sometimes I'm gonna build a little home for two  
And sometimes I'm gonna build a little home for two  
And for weeks they've been sewing every Susie and Sal  "
Dean Martin,Give Me A Sign,/d/dean+martin/give+me+a+sign_20210671.html,"Give me a look give me a word give me a sign  
Give me a look give me a word give me a sign  
(Give me a look give me a word give me a sign)  
Give me a look give me a word give me a sign  "
Dean Martin,Here Comes My Baby,/d/dean+martin/here+comes+my+baby_20712687.html,
Dean Martin,Hit The Road To Dreamland,/d/dean+martin/hit+the+road+to+dreamland_20221090.html,"Well it was divine but the cuckoo has finally crowed  
Time to hit the road Time to hit the road  "
Dean Martin,Houston,/d/dean+martin/houston_20220850.html,
Dean Martin,How It Lies How It Lies How It Lies,/d/dean+martin/how+it+lies+how+it+lies+how+it+lies_21063389.html,
Dean Martin,How Sweet It Is,/d/dean+martin/how+sweet+it+is_20222861.html,"Echo will call to his mate when the night shadows fall  
How sweet it is to know that you're mine  
How sweet that rose ask the bee for it knows  
But darling they can't compare with dreams I share with you  "
Dean Martin,I Have But One Heart (O Marenariello),/d/dean+martin/i+have+but+one+heart+o+marenariello_20712659.html,
Dean Martin,I Know A Dream When I See One,/d/dean+martin/i+know+a+dream+when+i+see+one_20229447.html,
Dean Martin,I Know I Can't Forget,/d/dean+martin/i+know+i+cant+forget_20712733.html,"For having loved you once I can't forget (Forget)  
But life without you darling can never be the same  
With memories of you I'll never be the alone  
(All) And though you're not here through the lonely years  "
Dean Martin,I Love Paris,/d/dean+martin/i+love+paris_20249551.html,"Whether loud be her cheers or where soft be her tears  
Ooh, I love Paris in the summer when it sizzles  "
Dean Martin,(I Love You) For Sentimental Reasons,/d/dean+martin/i+love+you+for+sentimental+reasons_20250471.html,I love you and you alone were meant for me  
Dean Martin,I Never Had A Chance,/d/dean+martin/i+never+had+a+chance_20286952.html,
Dean Martin,I Still Get A Thrill,/d/dean+martin/i+still+get+a+thrill_20318981.html,"I can't believe you're gone memories linger on  
I can't believe you're gone memories linger on  "
Dean Martin,I Take Alot Of Pride In What I Am,/d/dean+martin/i+take+alot+of+pride+in+what+i+am_20712717.html,"Were things they never taught me in a class room  
And looking for my Daddy's name in every town  
But I take alot of pride in what I am  
Or just living off the fat of our great land  "
Dean Martin,I Will,/d/dean+martin/i+will_20343762.html,"You will look at him and see me smiling back at you  
And you will find yourself repeating things we used to do  "
Dean Martin,I Wish You Love,/d/dean+martin/i+wish+you+love_20342146.html,"So with my best, my very best, I set you free.  
And in July, lemonade to cool you in some leafy glade,  
I wish you health, and more than wealth, I wish you love.  
And then a kiss, but more than this, I wish you love.  "
Dean Martin,If You Were The Only Girl In The World,/d/dean+martin/if+you+were+the+only+girl+in+the+world_20203201.html,We would go on lovin' in the same old way  
Dean Martin,I'm Leaving It (all) Up To You,/d/dean+martin/im+leaving+it+all+up+to+you_20587176.html,"That's why I'm leaving it up to you  
That's why I'm leaving it up to you  "
Dean Martin,Invisible Tears,/d/dean+martin/invisible+tears_20822945.html,"If I just close my eyes then maybe it will last  
Invisible tears in my eyes, incredible pain in my heart  
Invisible tears in my eyes, incredible pain in my heart  
Those arms they aren't real but somehow I feel  "
Dean Martin,It's A Good Day,/d/dean+martin/its+a+good+day_21065724.html,"Cause it's a good day from mornin' till night.  
And it's a good day for losin' the blues,  
And you know you've got the right of way  
Cause it's a good day from mornin' till night."
Dean Martin,It's Easy To Remember,/d/dean+martin/its+easy+to+remember_20712729.html,"It's easy to remember but oh so hard to forget  
It's easy to remember but so hard to forget  
It's easy to remember and so hard to forget"
Dean Martin,June In January,/d/dean+martin/june+in+january_20225295.html,"But I can feel the scent of roses in the air  
But I can feel the scent of roses in the air  "
Dean Martin,Kiss,/d/dean+martin/kiss_20227200.html,
Dean Martin,Let Me Love You Tonight,/d/dean+martin/let+me+love+you+tonight_20245146.html,"Live a lifetime of love in a moment holding me tight  
Let me thrill to the touch of your sheltering arms  
Let me tell you how much I adore all your charms  
While the stars in the sky give a heavenly light  "
Dean Martin,Little Did We Know,/d/dean+martin/little+did+we+know_20246476.html,"Yes, little did we know the love we'd share  
Yes, little did we know the love we'd share  
Little did we dream our hearts would play a theme  "
Eminem,25 to Life,/e/eminem/25+to+life_20883525.html,"Why I'm married to you still man I don't know  
But a special place for you in my heart I have kept  
I told you, you'd be sorry if I fucking left  
I'm leaving you, my life sentence is served bitch  "
Eminem,3 A.M.,/e/eminem/3+am_20789506.html,"Oh(yea) oh(yea) oh(yea) oh(yea)oh(yea)  
It ain't no stoppin' me from choppin' him up(up)  
Here I sit while I'm caught up in deep thought again  
That's when my days of serial murder man slaughter begun  "
Eminem,3 Verses,/e/eminem/3+verses_20049939.html,"fuck it, you only live once you might as well die now  
And I'm as good at keeping a promise as Nostradamus  
Warlord of rap little bastard with a two by four board  
Go to bed with the keg wake up with the 40  "
Eminem,Above The Law,/e/eminem/above+the+law_20914210.html,"No where near twisted, in fact if I jump out a? Taxi  
I'm just like Ricky Hatton, I just like to rhyme  
Bag in that bitch thought of that little motherfucker till it suffocates,  
Hook I tell em left or right head or gut,  "
Eminem,Buffalo Bill,/e/eminem/buffalo+bill_20866830.html,"""Mista, help me""'s what he said to me, and then sunk.  
My chainsaw's outta gas, my regular saw ain't.  
Until it dries, for the moment I guess you're all safe.  
And push it right through her, while ya put your shish-kebab skewers  "
Eminem,Business,/e/eminem/business_10106011.html,"It just means so much more to so much more  
You ain't even impressed no more, you used to it  
The show must go on, so I'd like to welcome y'all  
Must be a circus in town, let's shut the shit down  "
Eminem,Careful What You Wish For,/e/eminem/careful+what+you+wish+for_20793604.html,"But Encore just didn't have the caliber to match it  
My back has been broke, and I can still walk  
And if you get it then you just might not know  
And that's the only word I can think of right now  "
Eminem,Chemical Warfare,/e/eminem/chemical+warfare_20907285.html,"While bossy pussy farts and takes a piss on the sofa,  
I'm vato loco, homie I'll cock those llamas,  
The governor of Alaska, She lusts when I ask her,  
Got an axe in the duffel bag, couple of fags,  "
Eminem,Cleanin' Out My Closet,/e/eminem/cleanin+out+my+closet_10106013.html,"See they can trigger me but they never figure me out  
But put yourself in my position just try to envision  
Bitchin' that someones always goin' through her purse and shit's missin'  
Even if I hated Kim, I grit my teeth and I  "
Eminem,Cocaine,/e/eminem/cocaine_20899364.html,"Hanes mainly, it's a long shot but is it possible  
Was nothing like the picture that I painted in my head  
But he aint trailing anymore he's ahead of the race  
Yeah slim shady that's a zany name aint it  "
Eminem,Crack A Bottle,/e/eminem/crack+a+bottle_20775965.html,"I gets what the fuck I want so what I trick  
But hey, what else can I say? I love LA.  
Don't act like a snobby model you just hit the lotto  
In this corner, weighing a hundred and seventy five pounds,  "
Eminem,Drips,/e/eminem/drips_10106022.html,"And it's obvious to everyone in the lobby, it's AIDS  
So you go to the clinic, sweatin' every minute you in it  
Someone betta' get this bitch 'fore she gets kicked in the stomach  
And you found it isn't 'cause this bitch has been visitin'  "
Eminem,Elevator,/e/eminem/elevator_20886752.html,"I just keep saying the same exact saying, check it  
You slay me, nothing you say matters enough that you shame me  
You're standing adjacent to Jason's last slut, they're facing  
Fucking son of a bitch, I can't believe this shit  "
Eminem,Emulate,/e/eminem/emulate_20720423.html,"Label me a genius if you ever seen as you would say  
Regardless of this I draw visual pictures when a nigga vents  
Sick of people thinkin' its a fuckin' mimick when it ain't  
And catch him flippin' you off with his pants down  "
Eminem,Farewell,/e/eminem/farewell_21110893.html,"I'm annoyed, hell!, shit you coulda at least sent a text  
But for some odd reason I can't do it  
While I'm sitting here cleaning my shoes from this shit!  
And I've been drinking myself to sleep my soul's crushed  "
Eminem,Freestyle 2,/e/eminem/freestyle+2_20200771.html,"Its my turn and I'm gonna drop a bomb  
This is the rhyme that with solididfy that I won.  
Ok right now I'm gonna let you flow  
But I'm sure ill do it again like a big tymer.  "
Eminem,Gangsta - (Joe Beast),/e/eminem/gangsta+joe+beast_20676832.html,"Don't have me have to call them niggas from Core Street  
But I'm a keep it gangsta even I'm famous
But I'm a keep it (gangsta), even if I'm famous  
Do you really keep it (gangsta), yeah or is you bluffin'  "
Eminem,Get Money,/e/eminem/get+money_20982462.html,"In the sun cause I don't tan, I burn, blood clot  
I run this rap shit, now guess who's back  
To go from sellin' bags to bottles right out the store  
Jay-Z and Kanye West, maybe they're just tryna distract it  "
Eminem,If I Had...,/e/eminem/if+i+had_10106080.html,"It wouldn't be enough, because I'd still be out  
I'm tired of faking knots with a stack of ones  
Tired of having skinny friends hooked on crack and many things  
I'm tired of backstabbing ass snakes with friendly grins  "
Eminem,I'm Having A Relapse,/e/eminem/im+having+a+relapse_20762626.html,"Yeah, here I come come you hear the rumbling, vrum vrum  
The first thing I'll put on is the mask  
It ain't to late to have a change of pace  
It'll only take me a second to choke his trachea  "
Eminem,Infinite,/e/eminem/infinite_20049956.html,"You look insanely whack when just a fraction of my tracks run  
There's never been a greater since the burial of Jesus  
MC's are feeble, I came to cause some pandemonium  
We disinfect then check the monologue, turn your system up  "
Eminem,Invasion,/e/eminem/invasion_20286683.html,"But I ain't tryin to get to intricate into it,  
'cause it's gone feel like so many feet kickin you,  
'cause then it's gonna get to the point  
I don't know what it is or what it could be,  "
Eminem,Just Lose It,/e/eminem/just+lose+it_10105664.html,"They said save it boy, we got you on tape  
Just go aah aah aah aah, it's so appeasin'  
But I'm feelin' just a little stressed out from work  
Girl girl girl (Now you know you're my world)  "
Eminem,Medicine Ball,/e/eminem/medicine+ball_20790647.html,"How should I begin it and were does it all end  
(Chrisopher Reeves) Eminem I'm coming to kill you (sniff)  
I tantalize ya in the less than five seconds I get ya  
The world is just my medicine ball your all in  "
Kanye West,Anyway,/k/kanye+west/anyway_20766906.html,"Anyway, they don't know you like I do (Never know)  
All of the time, you wanna complain about the nights alone  "
Kanye West,Bad News,/k/kanye+west/bad+news_20834894.html,"I played it off and act like I already knew  
You played it off and act like he's brand new  "
Kanye West,Barry Bonds,/k/kanye+west/barry+bonds_20447583.html,"Ask for it I did it, that asshole done did it  
And I'm doing pretty hood in my pink polo  
I'm high up on the line, you could get behind me  
It's what you all been waiting for ain't it?  "
Kanye West,Be-Cleve In Yourself,/k/kanye+west/be+cleve+in+yourself_20892975.html,"I know what it's like to feel down little girl  
No, I'm talkin about the big guy right here: Cleveland Brown  
Got a chubby brown angel sittin on my shoulder, sayin  
Then I met a man who taught me how to live large  "
Kanye West,Better Than Yours,/k/kanye+west/better+than+yours_20573572.html,"It's Common and Kanye y'all niggaz know what time it is  
That's why I had to rap on this 'cause  
They don't want me to shop and me spending that hard  
There's something I might say, There's something I might play  "
Kanye West,Bittersweet,/k/kanye+west/bittersweet_20573571.html,"I love you and I hate you at the very same time  
And I never let a nigga get that close to me!  
We've been generally warned, that's what the surgeon says  
Never did this before, that's what the virgin said  "
Kanye West,Black Bruce Wayne,/k/kanye+west/black+bruce+wayne_21084213.html,"We not off no more, pearlies in a show, fur  
Tryna hand feed us tell the niggas to anty up  
So pick your auntie up, I gotta run to that pole"
Kanye West,Breath In Breath Out,/k/kanye+west/breath+in+breath+out_20161329.html,"Always said if I rapped I'd say somethin' significant  
When I pull the piece out niggas like ""Peace out!""  
When I pull the piece out niggas like ""Peace out!""  
But now I'm rappin' 'bout money, hoes, and rims again  "
Kanye West,Can't Tell Me Nothing,/k/kanye+west/cant+tell+me+nothing_20432663.html,"So if the devil wear prada, Adam, Eve wear nada  
And you can live through anything if Magic made it  
How he stay faithful in a room full of hoes?  
Let that man get cash, let that man get past  "
Kanye West,Dark Fantasy,/k/kanye+west/dark+fantasy_20892709.html,"You ain't got no fuckin' Yeezy in your Serato?  
Sex is on fire, I'm the King of Leon and Louis  
Too many Urkels on your team, that's why your wins low  
I'm just a Chi-town nigga with a Nas flow  "
Kanye West,Devil in a New Dress,/k/kanye+west/devil+in+a+new+dress_20887608.html,"How she gone wake up and not love me no more  
Don't leave while your hot that's how Mase screwed up  
We ain't married but tonight I need some consummation  
Lookin' at my wrist it'll turn your ass to stone  "
Kanye West,Diamonds,/k/kanye+west/diamonds_10155928.html,"Voices in my head, I need choices in my bed  
Is it too much to ask you keep your diamonds up?  
But it don't matter cause I stay on my fresh prince  
We going crazy and I always use my best sense  "
Kanye West,Don't Stop,/k/kanye+west/dont+stop_20891393.html,"Ask me to are Kelly ya and get pee'd on  
Brand new ferrari's I gotta make the donuts  
There's hoes in magazines you lame sayin you lame  
Popped too many corks to let you dork's offend me  "
Kanye West,Electric Relaxation,/k/kanye+west/electric+relaxation+ft+consequence_20232664.html,"But he keep dem gorilla's so we still be good  
Relax yourself or we'll whack ya down (You couldn't relate)  
Relax yourself or we'll whack ya down (Uh-huh, yeah)  
And if you talk about him, aiiyo I take you out  "
Kanye West,E.t,/k/kanye+west/et_20910890.html,"Wanna feel your powers, stun me with your lasers  
Infect me with your love and fill me with your poison  
And I'm ready to go, lead me into the light  
And I'm ready to go, lead me into the light  "
Kanye West,Everything I Am,/k/kanye+west/everything+i+am_20447613.html,"People talkin' shit, but when the shit hit the fan  
The church want time, so I can't afford to pay  
Do you know what it feel like when people is passin'?  
Or rock some mink boots in the summertime like Will.I.Am  "
Kanye West,Extravaganza,/k/kanye+west/extravaganza_20573558.html,"Well tonite, I'm trying to find them other girls  
But all those ups and downs, turned me in a twist  
Steady talking about I ain't like them other girls  "
Kanye West,Family Business,/k/kanye+west/family+business_20196860.html,"That's why I spit it in my songs so sweet  
Got roaches at their crib like them your first cousins  
They don't mean a thing (all, all, all the things)  
And this is for the family that can't be with us  "
Kanye West,Freestyle,/k/kanye+west/freestyle_20573557.html,"Told you bout gold-diggin bitch it's worser than lying  
But everytime I get a check you be first up in line  
A little richer a little thicker a litter older than you  
Probably a little smarter so they can drop me some jewels  "
Kanye West,Guilt Trip,/k/kanye+west/guilt+trip_21063641.html,"Focus on the future and let the crew knock her  
None ah dem have the guts to rise it and spray  
None ah dem have the guts to bust the AK
All dem a gwaan dem a dem a dem a gwaan  "
Kanye West,Heard 'em Say,/k/kanye+west/heard+em+say_20432473.html,"I can't figure it out, I'm stickin' around  
Where I'm from, the dope boys is the rock stars  
And I heard 'em say, nothin' ever promised tomorrow today  
I guess they want us all behind bars, I know it  "
Kanye West,Heavy Hitters,/k/kanye+west/heavy+hitters_20221994.html,"You ain't got no muscles dude you weakling bastard  
I told dude ""You can't even rap on my interlude""  
Tell Jay that I'm 'bout to change the game  
Why'all don't model Adidas, just stick with the fashion  "
Kanye West,Homecoming,/k/kanye+west/homecoming_20447623.html,"She said, ""You left your kids, and they just like you  
She said it felt like they walked and drove on me  
If you don't know by now, I'm talking 'bout Chi-Town!  
But, my name is Windy and I like to blow trees""  "
Kanye West,Jesus Walks,/k/kanye+west/jesus+walks_20226788.html,"We rappers are role models we rap we don't think  
Now hear ye hear ye want to see Thee more clearly  
Top floor of the view alone will leave you breathless  
Saying ""We eat pieces of shit like you for breakfast!""  "
Kanye West,Kinda Like A Big Deal,/k/kanye+west/kinda+like+a+big+deal_21034301.html,"How you count our money we ain't even finish countin'  
It's a blessin' to blow a hundred thou' in a recession  
After two classics another stripe up on my arm baby  
Y'all ain't peep? I said Marshall's we play  "
Kanye West,Last Call,/k/kanye+west/last+call_10155925.html,"I went to the malls and I balled too hard  
They expected that College Dropout to drop and then flop  
Raise your glasses, your glasses, your glasses to the sky  
Though the fans want the feeling of A Tribe Called Quest  "
Kanye West,Lift Off,/k/kanye+west/lift+off_20975047.html,"How many people you know can take it this far?  
(How many people you know can take it this far?)  
We gon' take it to the moon, take it to the stars  
We gon' take it to the moon, take it to the stars  "
Kanye West,My Way,/k/kanye+west/my+way_20268735.html,"And we gon' flip Carter, when we could afford better  
They just got him up the base line recordin' shit  
Niggaz ain't believe me 'till they see me on t.v  
I say, Fuck that dog, I get my own way  "
Kanye West,New Slaves,/k/kanye+west/new+slaves_21062451.html,"But I'd rather be a dick than a swallower  
That's that ""Don't touch anything in the store""  
But they wasn't satisfied unless I picked the cotton myself  
I won't end this high, not this time again  "
Kanye West,On Sight,/k/kanye+west/on+sight_21063673.html,"Let me show you right now before you give it up  
Everybody wanna live at the top of the mountain  
Let me show you right now before you give it up  
It's too many hoes in this house of sin  "
Kanye West,Poppin' Tags,/k/kanye+west/poppin+tags_20294630.html,"In the two seater, Ludacris and Twista with bags of 'dro  
And we gone stay hustling on the block until we caught  
I'm seeing lions, and tigers and bears - oh my!  
It's so potent, I'm hoping to keep on floating  "
Kanye West,Roses,/k/kanye+west/roses_20432543.html,"If she gon' pull through, we gon' find out soon  
What do you say at this time? Remember when I was 9?  
My grandfather tryin to pull it together, he's strong  
When they said that she made it you see they eyes gleam  "
Kanye West,The One,/k/kanye+west/the+one_21046847.html,"Magazine and condom size see what I seen and be traumatized  
It's hard preachin' the gospel to the slums lately  
So I had to put the church on the drums, baby  
Tell them that I'm the one (One, one, one)  "
Pink Floyd,A New Machine,/p/pink+floyd/a+new+machine_10206108.html,
Pink Floyd,A Pillow Of Winds,/p/pink+floyd/a+pillow+of+winds_20108644.html,
Pink Floyd,Breathe,/p/pink+floyd/breathe_20108609.html,"Don't sit down it's time to dig another one.  
And smiles you'll give and tears you'll cry  "
Pink Floyd,Burning Bridges,/p/pink+floyd/burning+bridges_20108667.html,
